project_id,estimated_cost,actual_expenditure,delay_days,project_duration
P001,500000,510000,5,180
P002,400000,420000,10,150
P003,600000,620000,15,200
P004,450000,460000,8,170
P005,550000,570000,12,190
P006,700000,720000,20,210
P007,350000,360000,7,120
P008,800000,830000,18,240
P009,500000,530000,15,180
P010,650000,670000,20,200
P011,450000,470000,12,160
P012,600000,610000,10,190
P013,550000,580000,14,180
P014,400000,410000,6,150
P015,750000,780000,25,220
P016,500000,900000,100,180
P017,450000,800000,150,170
P018,600000,1200000,200,200
P019,700000,1500000,250,210
P020,400000,900000,180,150
